OS and Version	Status	Complete Name
Android 	VIDEO_OK	Opera Mini 5
Android 4.2.2	VIDEO_OK	Generic Android 4.0
Android 9	VIDEO_OK	Samsung SM-N9600 (Galaxy Note9)
iOS 13.3	VIDEO_OK	Apple iPhone
Windows 10	VIDEO_OK	Opera Software Opera
Android 9	VIDEO_OK	Huawei COL-L29 (Honor 10)
iOS 13.3	VIDEO_OK	Apple iPhone 7 Plus
Android 6.0.1	VIDEO_OK	Xiaomi Redmi Note 3
Android 5.0.2	VIDEO_OK	Generic Android 5.0
iOS 12.4.1	VIDEO_OK	Apple iPhone
Android 7.0	VIDEO_OK	HTC M10f (Bolt)
Android 8.1.0	VIDEO_OK	Asus ZB570TL (ZenFone Max Plus M1)
iOS 13.3	VIDEO_OK	Apple iPhone
iOS 13.1.3	VIDEO_OK	Apple iPhone
iOS 12.3.1	VIDEO_OK	Apple iPhone
Android 5.1.1	VIDEO_OK	Samsung SM-T285 (Galaxy Tab A 7.0 LTE)
Android 6.0.1	VIDEO_OK	Samsung SM-T800 (Galaxy Tab S 10.5)
Android 5.1.1	VIDEO_OK	Samsung SM-J700F (Galaxy J7 2015)
Android 9	VIDEO_OK	Xiaomi Redmi Y3
Android 7.1.2	VIDEO_OK	Xiaomi Redmi Y1 Lite
Android 6.0.1	VIDEO_OK	Google Nexus 5X
Windows 10	VIDEO_OK	Google Chrome
Android 5.1	VIDEO_OK	OPPO X9009 (F1 Plus)
iOS 12.4	VIDEO_OK	Apple iPad
Windows 10	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Samsung SM-G973F (Galaxy S10)
Android 6.0.1	VIDEO_OK	Samsung SM-G900FQ (Galaxy S5)
Windows XP	VIDEO_OK	Opera Software Opera
Android 8.0.0	VIDEO_FAILURE	HTC U Ultra
Android 6.0	VIDEO_OK	Vivo 1601 (V5)
iOS 13.3	VIDEO_OK	Apple iPhone
Android 8.0.0	VIDEO_FAILURE	Huawei AUM-AL29 (Honor 7A Pro)
Android 6.0.1	VIDEO_OK	OPPO CPH1607 (R9s)
Android 9	VIDEO_OK	Xiaomi Mi A2
Linux 	VIDEO_OK	Opera Software Opera
iOS 13.3	VIDEO_OK	Apple iPhone
Android 7.0	VIDEO_OK	Xiaomi Redmi Note 4
iOS 13.2	VIDEO_OK	Apple iPhone
iOS 12.2	VIDEO_OK	Apple iPad
iOS 11.2.2	VIDEO_OK	Apple iPad
Android 7.1.1	VIDEO_OK	OPPO CPH1801 (A71 (2018))
Android 9	VIDEO_OK	Xiaomi Redmi 6
iOS 13.3	VIDEO_OK	Apple iPhone 8
iOS 9.3.4	VIDEO_OK	Apple iPhone 6S
Android 9	VIDEO_OK	Xiaomi Mi A1
Windows 10	VIDEO_OK	Microsoft Edge
macOS 10.14.6	VIDEO_OK	Apple Safari
Android 9	VIDEO_OK	Samsung SM-G950F (Galaxy S8)
Windows 10	VIDEO_OK	Mozilla Firefox
iOS 13.3	VIDEO_OK	Apple iPad
Windows 8.1	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Samsung SM-A750GN (Galaxy A7 (2018))
Android 4.4.2	VIDEO_OK	Kyocera KYY23 (L03)
Android 8.1.0	VIDEO_OK	Samsung SM-G615F (Galaxy J7 Max)
macOS 10.15.2	VIDEO_OK	Google Chrome
macOS 10.14.6	VIDEO_OK	Google Chrome
iOS 13.3	VIDEO_OK	Apple iPhone X
Android 8.1.0	VIDEO_OK	Vivo 1807 (Y95)
macOS 10.15	VIDEO_OK	Apple Safari
iOS 13.2	VIDEO_OK	Apple iPhone XR
iOS 12.4.1	VIDEO_OK	Apple iPhone 7 Plus
Android 7.0	VIDEO_OK	Asus Z012DA (Zenfone 3 ZE552KL)
 	VIDEO_OK	
Android 9	VIDEO_OK	Motorola One Vision
Android 5.1.1	VIDEO_OK	Samsung SM-G531F (Galaxy Grand Prime)
Android 8.0.0	VIDEO_FAILURE	Asus Z017DA (Zenfone 3 ZE520KL)
Android 9	VIDEO_OK	Asus X00TDB (Zenfone Max Pro (M1) ZB601KL)
iOS 13.3	VIDEO_OK	Apple iPhone XR
iOS 13.3	VIDEO_OK	Apple iPhone
Android 8.1.0	VIDEO_OK	10.or D
Android 9	VIDEO_OK	OPPO CPH1969 (F11 Pro)
Android 9	VIDEO_OK	Huawei CMR-W09 (MediaPad M5 (WIFI))
Windows 10	VIDEO_OK	Google Chrome
Android 8.0.0	VIDEO_FAILURE	Samsung SM-A720F (Galaxy A7 (2017))
Windows 7	VIDEO_OK	Google Chrome
Android 6.0.1	VIDEO_OK	Samsung SM-G532G (Galaxy Grand Prime+)
Android 5.1	VIDEO_OK	Sony E5353 (Xperia C4)
iOS 13.3	VIDEO_OK	Apple iPhone 7 Plus
Windows 10	VIDEO_OK	Mozilla Firefox
Windows 7	VIDEO_OK	Mozilla Firefox
Android 7.0	VIDEO_OK	Huawei PRA-LX1 (P8 Lite (2017))
Windows 10	VIDEO_OK	Mozilla Firefox
Android 9	VIDEO_OK	Samsung SM-G960F (Galaxy S9)
Android 10	VIDEO_OK	Generic Android 10.0
Windows 10	VIDEO_OK	Microsoft Edge
Windows 10	VIDEO_OK	Microsoft Edge
Windows 10	VIDEO_OK	Google Chrome
Android 7.0	VIDEO_OK	Casper VIA M3
Android 9	VIDEO_OK	Huawei SNE-LX1 (Mate 20 Lite)
Windows 7	VIDEO_OK	Google Chrome
Android 8.1.0	VIDEO_OK	Vivo 1724 (Y71)
Android 8.1.0	VIDEO_OK	Xiaomi Redmi 6A
Android 8.1.0	VIDEO_OK	Vivo 1716 (V7 Plus)
macOS 10.15	VIDEO_OK	Apple Safari
Android 9	VIDEO_OK	Generic Android 9.0
Android 9	VIDEO_OK	OPPO CPH1969 (F11 Pro)
iOS 12.4.4	VIDEO_OK	Apple iPhone
Tizen 3.0	VIDEO_OK	Samsung Tizen TV 2017
Android 9	VIDEO_OK	Samsung SM-G965F (Galaxy S9+)
Android 7.0	VIDEO_OK	Samsung SM-A710F (Galaxy A7 (2016))
macOS 10.15	VIDEO_OK	Apple Safari
Windows 10	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Samsung SM-G965F (Galaxy S9+)
Android 9	VIDEO_OK	OnePlus A6013 (6T)
Windows 10	VIDEO_OK	Google Chrome
Windows 10	VIDEO_OK	Google Chrome
iOS 12.3.2	VIDEO_OK	Apple iPhone 8 Plus
iOS 13.3	VIDEO_OK	Apple iPhone 8 Plus
Android 9	VIDEO_OK	Xiaomi Redmi 6
iOS 11.4.1	VIDEO_OK	Apple iPhone
Android 7.1.2	VIDEO_OK	Xiaomi Redmi Y1
Android 9	VIDEO_OK	Samsung SM-A705GM (Galaxy A70)
Android 4.4.4	VIDEO_OK	Huawei Y635-CL00
Windows 7	VIDEO_OK	Google Chrome
Android 8.0.0	VIDEO_FAILURE	Huawei BAH2-W19 (MediaPad M5 Lite 10)
Android 8.1.0	VIDEO_OK	OPPO CPH1851 (R15 Neo)
Windows 7	VIDEO_OK	Google Chrome
macOS 10.13.6	VIDEO_OK	Apple Safari
Android 8.1.0	VIDEO_OK	Vivo 1804 (V11)
iOS 13.3	VIDEO_OK	Apple iPhone
Android 7.1.2	VIDEO_OK	Xiaomi Redmi Y1 Lite
Android 9	VIDEO_OK	Samsung SM-M205F (Galaxy M20)
Android 10	VIDEO_OK	OnePlus A6000 (6)
Android 9	VIDEO_OK	HTC 2Q4D100 (U11+)
Windows 10	VIDEO_OK	Google Chrome
Android 8.1.0	VIDEO_OK	Vivo 1807 (Y95)
Android 7.1.1	VIDEO_OK	Samsung SM-J510H (Galaxy J5 (2016))
iOS 13.3	VIDEO_OK	Apple iPhone
Android 	VIDEO_OK	Opera Mini 5
Android 8.1.0	VIDEO_OK	Xiaomi Redmi Go
Windows 10	VIDEO_OK	Microsoft Edge
